doc_id,D,name,sex,score_x,score_y
1,10,eileen dunn,female,2.68,
3,32,foufoune junior,male,2.38,
4,133,noel lopez,male,1.86,
2,17,joana gomezmartinez,female,2.57,
11,252,shanteka arvinger,male,1.5,
12,275,alfonso hamilton,male,1.42,
5,156,alexandra donovan,female,1.79,
16,351,joshua mason,male,1.23,
18,417,ricky williams,male,1.09,
6,163,yvette calderon,female,1.76,
21,496,cedric carson,male,0.91,
22,511,jameeka obriant,male,0.88,
7,170,michelle hunter,female,1.74,
23,581,latavyia tucker,male,0.73,
26,631,kadeidra bankston,male,0.64,
8,208,madeline cuello,female,1.6,
27,645,sanjay sookhoo,male,0.62,
28,672,david pierre,male,0.58,
9,220,haley belba,female,1.58,
29,679,arrik young,male,0.57,
30,685,james stearns,male,0.56,
10,239,fatima johnson,female,1.53,2.68
31,684,yolani moratz,male,0.56,
32,718,ralph johnson,male,0.5,2.38
13,290,brandi lopez,female,1.39,
33,758,marshall jacobs,male,0.42,
34,791,karlijo teague,male,0.37,
14,320,christine king,female,1.31,
35,823,dylan bishop,male,0.3,
36,838,joevel williams,male,0.27,
15,343,samantha lionakis,female,1.25,
37,854,nicholas gory,male,0.23,
38,888,sandy francois,male,0.17,
17,368,vincente delgado,female,1.18,2.57
39,894,shaun mckinley,male,0.15,
40,933,lavoris walker,male,0.08,
19,457,tiffany harris,female,1.0,
41,979,alonzo coleman,male,-0.01,
42,983,faris roperto,male,-0.02,
20,475,april mincey,female,0.96,
43,1074,sean atkinstall,male,-0.19,
44,1115,luis ayalaadorno,male,-0.32,
24,584,jessica garcia,female,0.72,
45,1114,ryan whittaker,male,-0.32,
46,1130,william murrell,male,-0.37,
25,595,anisha oliphant,female,0.7,
47,1156,christopher mejia,male,-0.46,
48,1168,jeremiah young,male,-0.5,
49,1182,alberto rodriguez,male,-0.58,
50,1242,juan prebal,male,-0.98,
