doc_id,D,name,sex,score_x,score_y
1,20,carrie salter,female,2.49,
7,96,thomas zaremba,male,2.01,
2,22,marie hamilton,female,2.48,
9,131,bobby cook,male,1.87,
3,40,carmen manzanares,female,2.32,
17,325,kristopher pendlebury,male,1.3,
4,53,donnalie higgs,female,2.23,
20,372,calvin feagin,male,1.17,2.49
5,68,anne murray,female,2.12,
21,414,matt munoz,male,1.1,
6,97,ruth battiste,female,2.01,
23,484,cachaloni frank,male,0.94,
8,123,patsy kennedy,female,1.9,
25,577,rasheed cunningham,male,0.74,
10,161,danielle sites,female,1.77,
26,591,dominic pabon,male,0.71,
11,170,michelle hunter,female,1.74,
29,693,frederick thomas,male,0.55,
12,171,jamye brown,female,1.73,
30,702,oscar alayo,male,0.53,
13,175,charlene cousino,female,1.71,
32,755,joseph brock,male,0.43,
14,237,lamar queenbourrows,female,1.53,
34,828,steve sevil,male,0.28,
15,252,shanteka arvinger,female,1.5,
35,831,sean poirier,male,0.28,
16,289,brooke bassininsky,female,1.39,
36,830,marlon turner,male,0.28,
18,335,mary davis,female,1.28,
39,972,sandy shaw,male,0.01,
19,342,natalie roldan,female,1.25,
40,986,tony woodberry,male,-0.03,2.32
22,464,stephanie velasquez,female,0.99,2.48
41,1022,dalton lewis,male,-0.11,
24,548,dominique dent,female,0.79,
42,1024,kalil edwards,male,-0.11,
27,654,stacy dimitrakis,female,0.61,
43,1047,milot bastian,male,-0.14,
28,687,andrew ward,female,0.56,
44,1082,michael carrier,male,-0.22,
31,718,ralph johnson,female,0.5,
45,1088,daniel swakcerd,male,-0.24,
33,761,samantha keeble,female,0.42,
47,1218,murvin thomas,male,-0.78,
37,888,sandy francois,female,0.17,
48,1231,tacaris mitchell,male,-0.88,
38,929,renee monroe,female,0.08,
49,1235,rasheem chamberlain,male,-0.91,
46,1181,karen darnell,female,-0.57,
50,1256,edward harding,male,-1.55,
